domain,file,line,symbol,current_type,target_type,classification,evidence,migration_required,risk
raw-sql,backend/tests/test_storefront_sync.py,52,online_price,FLOAT,"Decimal / NUMERIC(precision, scale)",money-or-rate,"online_price FLOAT,",yes,critical
raw-sql,backend/tests/test_storefront_sync.py,53,discount_percent,FLOAT,"Decimal / NUMERIC(precision, scale)",money-or-rate,"discount_percent FLOAT,",yes,critical
frontend-numeric,frontend/src/charts/SalesChart.jsx,26,Number,JavaScript Number,Decimal-safe string/minor-unit boundary,numeric-review,"sales: Number(item.sales || 0),",code-review,medium
frontend-numeric,frontend/src/designer/InvoiceDesigner.jsx,57,Math.round,JavaScript Number,Decimal-safe string/minor-unit boundary,money-or-rate,if (!enabled) return Math.round(value);,code-review,high
frontend-numeric,frontend/src/designer/InvoiceDesigner.jsx,58,Math.round,JavaScript Number,Decimal-safe string/minor-unit boundary,money-or-rate,return Math.round(value / 10) * 10;,code-review,high
frontend-numeric,frontend/src/designer/InvoiceDesigner.jsx,385,Math.round,JavaScript Number,Decimal-safe string/minor-unit boundary,numeric-review,"<div className=""mini-btn text-cyan-200"">{Math.round(zoom * 100)}%</div>",code-review,medium
frontend-numeric,frontend/src/designer/InvoiceDesigner.jsx,447,Number,JavaScript Number,Decimal-safe string/minor-unit boundary,money-or-rate,"<Prop label=""X"" value={selected.x} onChange={(v) => updateElement(selected.id, { x: Number(v) })} />",code-review,high
frontend-numeric,frontend/src/designer/InvoiceDesigner.jsx,448,Number,JavaScript Number,Decimal-safe string/minor-unit boundary,money-or-rate,"<Prop label=""Y"" value={selected.y} onChange={(v) => updateElement(selected.id, { y: Number(v) })} />",code-review,high
frontend-numeric,frontend/src/designer/InvoiceDesigner.jsx,449,Number,JavaScript Number,Decimal-safe string/minor-unit boundary,money-or-rate,"<Prop label=""W"" value={selected.w} onChange={(v) => updateElement(selected.id, { w: Number(v) })} />",code-review,high
frontend-numeric,frontend/src/designer/InvoiceDesigner.jsx,450,Number,JavaScript Number,Decimal-safe string/minor-unit boundary,money-or-rate,"<Prop label=""H"" value={selected.h} onChange={(v) => updateElement(selected.id, { h: Number(v) })} />",code-review,high
frontend-numeric,frontend/src/designer/InvoiceDesigner.jsx,456,Number,JavaScript Number,Decimal-safe string/minor-unit boundary,money-or-rate,"<Prop label={fa ? ""سایز فونت"" : ""Font size""} value={selected.fontSize} onChange={(v) => updateElement(selected.id, { fontSize: Number(v) })} />",code-review,high
frontend-numeric,frontend/src/designer/InvoiceDesigner.jsx,457,Number,JavaScript Number,Decimal-safe string/minor-unit boundary,money-or-rate,"<Prop label={fa ? ""گردی گوشه"" : ""Radius""} value={selected.radius} onChange={(v) => updateElement(selected.id, { radius: Number(v) })} />",code-review,high
frontend-numeric,frontend/src/invoice/InvoiceBuilder.jsx,49,Number,JavaScript Number,Decimal-safe string/minor-unit boundary,money-or-rate,return sum + Number(item.quantity || 0) * Number(item.unit_price || 0);,code-review,high
frontend-numeric,frontend/src/invoice/InvoiceBuilder.jsx,52,Number,JavaScript Number,Decimal-safe string/minor-unit boundary,money-or-rate,const discountAmount = subtotal * (Number(discountPercent || 0) / 100);,code-review,high
frontend-numeric,frontend/src/invoice/InvoiceBuilder.jsx,54,Number,JavaScript Number,Decimal-safe string/minor-unit boundary,money-or-rate,const taxAmount = afterDiscount * (Number(taxPercent || 0) / 100);,code-review,high
frontend-numeric,frontend/src/invoice/InvoiceBuilder.jsx,106,Number,JavaScript Number,Decimal-safe string/minor-unit boundary,quantity-or-measurement,.filter((item) => item.product_id && Number(item.quantity) > 0),code-review,medium
frontend-numeric,frontend/src/invoice/InvoiceBuilder.jsx,108,Number,JavaScript Number,Decimal-safe string/minor-unit boundary,numeric-review,"product_id: Number(item.product_id),",code-review,medium
frontend-numeric,frontend/src/invoice/InvoiceBuilder.jsx,109,Number,JavaScript Number,Decimal-safe string/minor-unit boundary,quantity-or-measurement,"quantity: Number(item.quantity),",code-review,medium
frontend-numeric,frontend/src/invoice/InvoiceBuilder.jsx,110,Number,JavaScript Number,Decimal-safe string/minor-unit boundary,money-or-rate,"unit_price: Number(item.unit_price),",code-review,high
frontend-numeric,frontend/src/invoice/InvoiceBuilder.jsx,120,Number,JavaScript Number,Decimal-safe string/minor-unit boundary,numeric-review,"customer_id: Number(customerId),",code-review,medium
frontend-numeric,frontend/src/localization/LanguageProvider.jsx,68,Number,JavaScript Number,Decimal-safe string/minor-unit boundary,numeric-review,decimal_places: Number.isInteger(Number(settings.decimal_places)),code-review,medium
frontend-numeric,frontend/src/localization/LanguageProvider.jsx,69,Number,JavaScript Number,Decimal-safe string/minor-unit boundary,numeric-review,"? Math.max(0, Math.min(4, Number(settings.decimal_places)))",code-review,medium
frontend-numeric,frontend/src/localization/LanguageProvider.jsx,73,Number,JavaScript Number,Decimal-safe string/minor-unit boundary,numeric-review,first_day_of_week: Number.isInteger(Number(settings.first_day_of_week)),code-review,medium
frontend-numeric,frontend/src/localization/LanguageProvider.jsx,74,Number,JavaScript Number,Decimal-safe string/minor-unit boundary,numeric-review,"? Math.max(0, Math.min(6, Number(settings.first_day_of_week)))",code-review,medium
frontend-numeric,frontend/src/localization/countryProfiles.js,124,Number,JavaScript Number,Decimal-safe string/minor-unit boundary,money-or-rate,"return new Intl.NumberFormat(localeFor(profile, language), options).format(Number(value || 0));",code-review,high
frontend-numeric,frontend/src/localization/countryProfiles.js,134,Number,JavaScript Number,Decimal-safe string/minor-unit boundary,money-or-rate,}).format(Number(value || 0));,code-review,high
frontend-numeric,frontend/src/localization/helpers.js,6,Number,JavaScript Number,Decimal-safe string/minor-unit boundary,money-or-rate,"return String(value).replace(/[0-9]/g, (digit) => persianDigits[Number(digit)]);",code-review,high
frontend-numeric,frontend/src/localization/helpers.js,31,Number,JavaScript Number,Decimal-safe string/minor-unit boundary,numeric-review,const number = Number(cleaned);,code-review,medium
frontend-numeric,frontend/src/localization/helpers.js,42,Number,JavaScript Number,Decimal-safe string/minor-unit boundary,money-or-rate,const numericValue = Number(value || 0);,code-review,high
frontend-numeric,frontend/src/localization/numbers.js,4,Number,JavaScript Number,Decimal-safe string/minor-unit boundary,money-or-rate,"return String(value).replace(/[0-9]/g, (digit) => persianDigits[Number(digit)]);",code-review,high
frontend-numeric,frontend/src/localization/numbers.js,8,Number,JavaScript Number,Decimal-safe string/minor-unit boundary,money-or-rate,const number = Number(value || 0);,code-review,high
frontend-numeric,frontend/src/pages/AccountingCore.js,42,Number,JavaScript Number,Decimal-safe string/minor-unit boundary,numeric-review,"const payload = { ...form, parent_id: form.parent_id ? Number(form.parent_id) : null, is_active: !!form.is_active };",code-review,medium
frontend-numeric,frontend/src/pages/AccountingEntries.js,19,Number,JavaScript Number,Decimal-safe string/minor-unit boundary,money-or-rate,"function toNumber(value) { return Number(String(value ?? ""0"").replace(/[۰-۹]/g, d => ""۰۱۲۳۴۵۶۷۸۹"".indexOf(d)).replace(/[^\d.-]/g, """")) || 0; }",code-review,high
frontend-numeric,frontend/src/pages/AccountingEntries.js,103,Number,JavaScript Number,Decimal-safe string/minor-unit boundary,quantity-or-measurement,"account_id: Number(line.account_id),",code-review,medium
frontend-numeric,frontend/src/pages/AgingReport.jsx,81,Number,JavaScript Number,Decimal-safe string/minor-unit boundary,money-or-rate,"<label style={{ color: ""#94a3b8"", fontSize: 12 }}>{copy.terms}<input type=""number"" min=""0"" max=""365"" value={termsDays} onChange={(e) => setTermsDays(Number(e.target.value))} style={{ display: ""block"", width: 105, marginTop: 4, background: ""#1e293b"", color: ""white"", border: ""1px solid #334155"", borde",code-review,high
frontend-numeric,frontend/src/pages/AiBusinessIntelligence.jsx,72,Number,JavaScript Number,Decimal-safe string/minor-unit boundary,numeric-review,const score = Number(data?.health_score || 0);,code-review,medium
frontend-numeric,frontend/src/pages/AiBusinessIntelligence.jsx,143,Number,JavaScript Number,Decimal-safe string/minor-unit boundary,money-or-rate,"<KpiCard title={fa ? ""رشد فروش ماه"" : ""Monthly sales growth""} value={`${n(Number(kpis.sales_growth_percent || 0).toFixed(1))}%`} icon={(kpis.sales_growth_percent || 0) >= 0 ? <TrendingUp /> : <TrendingDown />} color={(kpis.sales_growth_percent || 0) >= 0 ? ""#10b981"" : ""#ef4444""} />",code-review,high
frontend-numeric,frontend/src/pages/AiBusinessIntelligence.jsx,143,toFixed,JavaScript Number,Decimal-safe string/minor-unit boundary,money-or-rate,"<KpiCard title={fa ? ""رشد فروش ماه"" : ""Monthly sales growth""} value={`${n(Number(kpis.sales_growth_percent || 0).toFixed(1))}%`} icon={(kpis.sales_growth_percent || 0) >= 0 ? <TrendingUp /> : <TrendingDown />} color={(kpis.sales_growth_percent || 0) >= 0 ? ""#10b981"" : ""#ef4444""} />",code-review,high
frontend-numeric,frontend/src/pages/BackupRecovery.jsx,219,Number,JavaScript Number,Decimal-safe string/minor-unit boundary,money-or-rate,const bytes = Number(value || 0);,code-review,high
frontend-numeric,frontend/src/pages/BackupRecovery.jsx,221,toFixed,JavaScript Number,Decimal-safe string/minor-unit boundary,numeric-review,if (bytes < 1024 * 1024) return `${n((bytes / 1024).toFixed(1))} KB`;,code-review,medium
frontend-numeric,frontend/src/pages/BackupRecovery.jsx,222,toFixed,JavaScript Number,Decimal-safe string/minor-unit boundary,numeric-review,return `${n((bytes / 1024 / 1024).toFixed(2))} MB`;,code-review,medium
frontend-numeric,frontend/src/pages/BankReconciliation.jsx,20,unary-plus,JavaScript Number,Decimal-safe string/minor-unit boundary,money-or-rate,"addLine:fa?""افزودن گردش صورتحساب"":""Add statement line"",date:fa?""تاریخ"":""Date"",description:fa?""شرح"":""Description"",reference:fa?""مرجع"":""Reference"",amount:fa?""مبلغ (+واریز / -برداشت)"":""Amount (+in / -out)"",",code-review,high
frontend-numeric,frontend/src/pages/BankReconciliation.jsx,37,Number,JavaScript Number,Decimal-safe string/minor-unit boundary,money-or-rate,"async function submitLine(e){e.preventDefault();if(!accountId)return;try{await addBankStatementLine(accountId,{...lineForm,amount:Number(lineForm.amount)});setLineForm({...lineForm,description:"""",reference:"""",amount:""""});await load(accountId);}catch(e){toast.error(e.message);}}",code-review,high
frontend-numeric,frontend/src/pages/BankReconciliation.jsx,49,Number,JavaScript Number,Decimal-safe string/minor-unit boundary,money-or-rate,"<form onSubmit={submitAccount} style={{...card,padding:17}}><h3 style={{marginTop:0,color:""#67e8f9""}}>{copy.newAccount}</h3><div style={{display:""grid"",gridTemplateColumns:""1fr 1fr"",gap:8}}><input required placeholder={copy.account} value={accountForm.name} onChange={e=>setAccountForm({...accountFor",code-review,high
frontend-numeric,frontend/src/pages/BudgetControl.jsx,26,Number,JavaScript Number,Decimal-safe string/minor-unit boundary,money-or-rate,"async function addBudget(e){e.preventDefault();try{await saveBudgetLine({fiscal_period_id:Number(periodId),account_id:Number(budget.account_id),cost_center_id:budget.cost_center_id?Number(budget.cost_center_id):null,project_id:budget.project_id?Number(budget.project_id):null,amount:Number(budget.amo",code-review,high
frontend-numeric,frontend/src/pages/BusinessIntelligence.jsx,27,Number,JavaScript Number,Decimal-safe string/minor-unit boundary,numeric-review,return Number(,code-review,medium
frontend-numeric,frontend/src/pages/BusinessIntelligence.jsx,81,Math.round,JavaScript Number,Decimal-safe string/minor-unit boundary,numeric-review,"list.push({ tone: ""emerald"", icon: <TrendingUp />, title: fa ? ""رشد فروش قابل توجه"" : ""Strong sales growth"", text: fa ? `فروش نسبت به دوره قبل حدود ${n(Math.round(trend))}% رشد داشته است.` : `Sales grew about ${Math.round(trend)}% vs previous period.` });",code-review,medium
frontend-numeric,frontend/src/pages/BusinessIntelligence.jsx,83,Math.round,JavaScript Number,Decimal-safe string/minor-unit boundary,numeric-review,"list.push({ tone: ""rose"", icon: <TrendingDown />, title: fa ? ""افت فروش"" : ""Sales drop"", text: fa ? `فروش نسبت به دوره قبل حدود ${n(Math.abs(Math.round(trend)))}% کاهش داشته است. کمپین فروش پیشنهاد می‌شود.` : `Sales dropped about ${Math.abs(Math.round(trend))}%. A campaign is recommended.` });",code-review,medium
frontend-numeric,frontend/src/pages/BusinessIntelligence.jsx,203,Math.round,JavaScript Number,Decimal-safe string/minor-unit boundary,money-or-rate,"`${fa ? ""حاشیه سود"" : ""Profit margin""}: ${n(Math.round(metrics.profitMargin))}%`,",code-review,high
frontend-numeric,frontend/src/pages/BusinessIntelligence.jsx,236,Math.round,JavaScript Number,Decimal-safe string/minor-unit boundary,money-or-rate,"<KpiCard icon={<Target />} title={fa ? ""حاشیه سود"" : ""Profit margin""} value={`${n(Math.round(metrics.profitMargin))}%`} tone={metrics.profitMargin >= 20 ? ""emerald"" : metrics.profitMargin >= 5 ? ""amber"" : ""rose""} />",code-review,high
frontend-numeric,frontend/src/pages/BusinessIntelligence.jsx,294,Math.round,JavaScript Number,Decimal-safe string/minor-unit boundary,numeric-review,"<MiniPanel icon={<CalendarClock />} title={fa ? ""روند فروش"" : ""Sales trend""} main={`${n(Math.round(metrics.trend))}%`} sub={metrics.trend >= 0 ? (fa ? ""رو به رشد"" : ""Growing"") : (fa ? ""کاهشی"" : ""Declining"")} />",code-review,medium
frontend-numeric,frontend/src/pages/BusinessIntelligence.jsx,325,Math.round,JavaScript Number,Decimal-safe string/minor-unit boundary,numeric-review,"return <div className=""text-center rounded-3xl bg-slate-800/70 border border-white/5 p-5""><div className=""text-slate-400 text-sm mb-3"">{title}</div><div className=""w-36 h-36 mx-auto rounded-full flex items-center justify-center"" style={{ background: `conic-gradient(#22d3ee ${score * 3.6}deg, rgba(51",code-review,medium
frontend-numeric,frontend/src/pages/ChangeRequestCenter.jsx,95,Number,JavaScript Number,Decimal-safe string/minor-unit boundary,money-or-rate,"if ([""online_price"", ""discount_percent""].includes(form.field)) value = Number(value);",code-review,high
frontend-numeric,frontend/src/pages/ChangeRequestCenter.jsx,119,Number,JavaScript Number,Decimal-safe string/minor-unit boundary,numeric-review,"target_id: form.action_type === ""online_product_update"" ? Number(form.target_id) : null,",code-review,medium
frontend-numeric,frontend/src/pages/ChangeRequestCenter.jsx,233,Number,JavaScript Number,Decimal-safe string/minor-unit boundary,numeric-review,"{requests.map((item) => <RequestCard key={item.id} item={item} fa={fa} products={products} canReview={user?.role === ""admin"" && item.status === ""needs_transcript_review""} canApprove={user?.role === ""admin"" && item.status === ""pending_approval"" && Number(item.requested_by) !== Number(user?.id)} onRev",code-review,medium
frontend-numeric,frontend/src/pages/ChangeRequestCenter.jsx,284,Number,JavaScript Number,Decimal-safe string/minor-unit boundary,numeric-review,target_id = Number(review.target_id);,code-review,medium
frontend-numeric,frontend/src/pages/ChangeRequestCenter.jsx,286,Number,JavaScript Number,Decimal-safe string/minor-unit boundary,money-or-rate,"if ([""online_price"", ""discount_percent""].includes(review.field)) value = Number(value);",code-review,high
frontend-numeric,frontend/src/pages/CrmDashboard.jsx,26,Number,JavaScript Number,Decimal-safe string/minor-unit boundary,numeric-review,return Number(,code-review,medium
frontend-numeric,frontend/src/pages/CrmDashboard.jsx,67,Math.round,JavaScript Number,Decimal-safe string/minor-unit boundary,numeric-review,"return Math.max(0, Math.min(100, Math.round(score)));",code-review,medium
frontend-numeric,frontend/src/pages/CrmDashboard.jsx,255,Math.round,JavaScript Number,Decimal-safe string/minor-unit boundary,money-or-rate,const avgScore = summary.total ? Math.round(summary.scoreSum / summary.total) : 0;,code-review,high
frontend-numeric,frontend/src/pages/CurrencyManagement.jsx,23,Number,JavaScript Number,Decimal-safe string/minor-unit boundary,money-or-rate,"async function addRate(e){e.preventDefault();try{await setExchangeRate({...rate,rate_to_base:Number(rate.rate_to_base)});setRate({...rate,rate_to_base:""""});await load()}catch(e){toast.error(e.message)}}",code-review,high
frontend-numeric,frontend/src/pages/CurrencyManagement.jsx,34,unary-plus,JavaScript Number,Decimal-safe string/minor-unit boundary,money-or-rate,"<section style={{...card,overflowX:""auto""}}><table style={{width:""100%"",borderCollapse:""collapse"",minWidth:850}}><thead><tr>{[c.currency,c.account,c.foreign,c.carrying,c.latest,c.current,c.difference].map(x=><th key={x} style={{padding:12,textAlign:""start"",color:""#67e8f9""}}>{x}</th>)}</tr></thead><t",code-review,high
frontend-numeric,frontend/src/pages/CustomerDetails.jsx,32,Number,JavaScript Number,Decimal-safe string/minor-unit boundary,numeric-review,return Number(cleaned || 0);,code-review,medium
frontend-numeric,frontend/src/pages/CustomerDetails.jsx,283,Math.round,JavaScript Number,Decimal-safe string/minor-unit boundary,numeric-review,"score = Math.max(0, Math.min(100, Math.round(score)));",code-review,medium
frontend-numeric,frontend/src/pages/Customers.jsx,61,Number,JavaScript Number,Decimal-safe string/minor-unit boundary,numeric-review,return Number(cleaned || 0);,code-review,medium
frontend-numeric,frontend/src/pages/Customers.jsx,115,Math.round,JavaScript Number,Decimal-safe string/minor-unit boundary,numeric-review,"return Math.max(0, Math.min(100, Math.round(score)));",code-review,medium
frontend-numeric,frontend/src/pages/Customers.jsx,977,Math.round,JavaScript Number,Decimal-safe string/minor-unit boundary,numeric-review,const averageScore = parties.length ? Math.round(summary.scoreSum / parties.length) : 0;,code-review,medium
frontend-numeric,frontend/src/pages/Dashboard.jsx,48,Number,JavaScript Number,Decimal-safe string/minor-unit boundary,numeric-review,return Number(,code-review,medium
frontend-numeric,frontend/src/pages/Dashboard.jsx,457,toFixed,JavaScript Number,Decimal-safe string/minor-unit boundary,money-or-rate,value={`${n(profitMargin.toFixed(1))}%`},code-review,high
frontend-numeric,frontend/src/pages/EnterpriseCRM.jsx,179,Number,JavaScript Number,Decimal-safe string/minor-unit boundary,money-or-rate,"<Input placeholder={fa ? ""ارزش"" : ""Value""} type=""number"" value={opportunity.value} onChange={(v) => setOpportunity({ ...opportunity, value: Number(v) })} />",code-review,high
frontend-numeric,frontend/src/pages/EnterpriseCRM.jsx,229,Number,JavaScript Number,Decimal-safe string/minor-unit boundary,money-or-rate,"<Input placeholder={fa ? ""ارزش احتمالی"" : ""Value""} type=""number"" value={lead.value} onChange={(v) => setLead({ ...lead, value: Number(v) })} />",code-review,high
frontend-numeric,frontend/src/pages/Expenses.jsx,25,Number,JavaScript Number,Decimal-safe string/minor-unit boundary,numeric-review,const num = Number(cleaned);,code-review,medium
frontend-numeric,frontend/src/pages/FinanceCenter.jsx,36,Number,JavaScript Number,Decimal-safe string/minor-unit boundary,numeric-review,return Number(,code-review,medium
frontend-numeric,frontend/src/pages/FinanceCenter.jsx,224,Number,JavaScript Number,Decimal-safe string/minor-unit boundary,quantity-or-measurement,"account_id: transactionForm.account_id ? Number(transactionForm.account_id) : accounts[0]?.id,",code-review,medium
frontend-numeric,frontend/src/pages/FinanceCenter.jsx,225,Number,JavaScript Number,Decimal-safe string/minor-unit boundary,quantity-or-measurement,"to_account_id: transactionForm.to_account_id ? Number(transactionForm.to_account_id) : null,",code-review,medium
frontend-numeric,frontend/src/pages/FinanceCenter.jsx,446,toFixed,JavaScript Number,Decimal-safe string/minor-unit boundary,money-or-rate,? `${n(((totals.expenseToday / totals.incomeToday) * 100).toFixed(1))}%`,code-review,high
frontend-numeric,frontend/src/pages/FinancialIntelligence.jsx,21,Number,JavaScript Number,Decimal-safe string/minor-unit boundary,numeric-review,const n = Number(v || 0);,code-review,medium
frontend-numeric,frontend/src/pages/FinancialIntelligence.jsx,160,Number,JavaScript Number,Decimal-safe string/minor-unit boundary,money-or-rate,"<SimInput label={fa ? ""رشد فروش ٪"" : ""Sales growth %""} value={scenario.sales_growth_percent} onChange={(v) => setScenario({ ...scenario, sales_growth_percent: Number(v) })} />",code-review,high
frontend-numeric,frontend/src/pages/FinancialIntelligence.jsx,161,Number,JavaScript Number,Decimal-safe string/minor-unit boundary,money-or-rate,"<SimInput label={fa ? ""تغییر قیمت خرید ٪"" : ""Purchase cost %""} value={scenario.purchase_cost_change_percent} onChange={(v) => setScenario({ ...scenario, purchase_cost_change_percent: Number(v) })} />",code-review,high
frontend-numeric,frontend/src/pages/FinancialIntelligence.jsx,162,Number,JavaScript Number,Decimal-safe string/minor-unit boundary,money-or-rate,"<SimInput label={fa ? ""تغییر قیمت فروش ٪"" : ""Selling price %""} value={scenario.selling_price_change_percent} onChange={(v) => setScenario({ ...scenario, selling_price_change_percent: Number(v) })} />",code-review,high
frontend-numeric,frontend/src/pages/FinancialIntelligence.jsx,163,Number,JavaScript Number,Decimal-safe string/minor-unit boundary,money-or-rate,"<SimInput label={fa ? ""تغییر هزینه‌ها ٪"" : ""Expense change %""} value={scenario.expense_change_percent} onChange={(v) => setScenario({ ...scenario, expense_change_percent: Number(v) })} />",code-review,high
frontend-numeric,frontend/src/pages/FinancialPolicy.jsx,101,Number,JavaScript Number,Decimal-safe string/minor-unit boundary,numeric-review,"decimal_places: Number(draft.decimal_places),",code-review,medium
frontend-numeric,frontend/src/pages/FinancialPolicy.jsx,102,Number,JavaScript Number,Decimal-safe string/minor-unit boundary,numeric-review,"first_day_of_week: Number(draft.first_day_of_week),",code-review,medium
frontend-numeric,frontend/src/pages/FinancialPolicy.jsx,103,Number,JavaScript Number,Decimal-safe string/minor-unit boundary,money-or-rate,"tax_percent: Number(draft.tax_percent),",code-review,high
frontend-numeric,frontend/src/pages/FiscalPeriods.jsx,106,Number,JavaScript Number,Decimal-safe string/minor-unit boundary,quantity-or-measurement,"vouchers: sum.vouchers + Number(period.vouchers_count || 0),",code-review,medium
frontend-numeric,frontend/src/pages/FiscalPeriods.jsx,107,Number,JavaScript Number,Decimal-safe string/minor-unit boundary,money-or-rate,"debit: sum.debit + Number(period.total_debit || 0),",code-review,high
frontend-numeric,frontend/src/pages/FiscalPeriods.jsx,108,Number,JavaScript Number,Decimal-safe string/minor-unit boundary,money-or-rate,"credit: sum.credit + Number(period.total_credit || 0),",code-review,high
frontend-numeric,frontend/src/pages/FiscalPeriods.jsx,266,Number,JavaScript Number,Decimal-safe string/minor-unit boundary,money-or-rate,const difference = Number(period.total_debit || 0) - Number(period.total_credit || 0);,code-review,high
frontend-numeric,frontend/src/pages/FixedAssets.jsx,20,Number,JavaScript Number,Decimal-safe string/minor-unit boundary,money-or-rate,"async function submit(e){e.preventDefault();try{await createFixedAsset({...form,acquisition_cost:Number(form.acquisition_cost),salvage_value:Number(form.salvage_value),useful_life_months:Number(form.useful_life_months)});setForm(empty);toast.success(c.save);await load()}catch(e){toast.error(e.messag",code-review,high
frontend-numeric,frontend/src/pages/InvoicePrint.jsx,59,Number,JavaScript Number,Decimal-safe string/minor-unit boundary,numeric-review,const num = Number(cleaned);,code-review,medium
frontend-numeric,frontend/src/pages/InvoicePrint.jsx,112,Math.round,JavaScript Number,Decimal-safe string/minor-unit boundary,money-or-rate,return Math.round(Number(value || 0) / 10) * 10;,code-review,high
frontend-numeric,frontend/src/pages/InvoicePrint.jsx,112,Number,JavaScript Number,Decimal-safe string/minor-unit boundary,money-or-rate,return Math.round(Number(value || 0) / 10) * 10;,code-review,high
frontend-numeric,frontend/src/pages/InvoicePrint.jsx,495,Math.round,JavaScript Number,Decimal-safe string/minor-unit boundary,numeric-review,"<div className=""text-slate-400 text-sm"">{page.label} • {Math.round(zoom * 100)}%</div>",code-review,medium
frontend-numeric,frontend/src/pages/InvoicePrint.jsx,512,Number,JavaScript Number,Decimal-safe string/minor-unit boundary,money-or-rate,"<NumberProp label=""X"" value={selectedElement.x} onChange={(v) => updateElement(selectedElement.id, { x: Number(v) })} />",code-review,high
frontend-numeric,frontend/src/pages/InvoicePrint.jsx,513,Number,JavaScript Number,Decimal-safe string/minor-unit boundary,money-or-rate,"<NumberProp label=""Y"" value={selectedElement.y} onChange={(v) => updateElement(selectedElement.id, { y: Number(v) })} />",code-review,high
frontend-numeric,frontend/src/pages/InvoicePrint.jsx,514,Number,JavaScript Number,Decimal-safe string/minor-unit boundary,money-or-rate,"<NumberProp label=""W"" value={selectedElement.w} onChange={(v) => updateElement(selectedElement.id, { w: Number(v) })} />",code-review,high
frontend-numeric,frontend/src/pages/InvoicePrint.jsx,515,Number,JavaScript Number,Decimal-safe string/minor-unit boundary,money-or-rate,"<NumberProp label=""H"" value={selectedElement.h} onChange={(v) => updateElement(selectedElement.id, { h: Number(v) })} />",code-review,high
frontend-numeric,frontend/src/pages/InvoicePrint.jsx,522,Number,JavaScript Number,Decimal-safe string/minor-unit boundary,money-or-rate,"<NumberProp label={fa ? ""سایز فونت"" : ""Font size""} value={selectedElement.fontSize} onChange={(v) => updateElement(selectedElement.id, { fontSize: Number(v) })} />",code-review,high
frontend-numeric,frontend/src/pages/InvoicePrint.jsx,523,Number,JavaScript Number,Decimal-safe string/minor-unit boundary,money-or-rate,"<NumberProp label={fa ? ""گردی گوشه"" : ""Radius""} value={selectedElement.radius} onChange={(v) => updateElement(selectedElement.id, { radius: Number(v) })} />",code-review,high
frontend-numeric,frontend/src/pages/Invoices.jsx,52,Number,JavaScript Number,Decimal-safe string/minor-unit boundary,numeric-review,const numeric = Number(cleaned);,code-review,medium
frontend-numeric,frontend/src/pages/Invoices.jsx,315,Number,JavaScript Number,Decimal-safe string/minor-unit boundary,numeric-review,"product_id: Number(item.product_id),",code-review,medium
frontend-numeric,frontend/src/pages/Invoices.jsx,327,Number,JavaScript Number,Decimal-safe string/minor-unit boundary,numeric-review,const product = products.find((p) => Number(p.id) === Number(item.product_id));,code-review,medium
frontend-numeric,frontend/src/pages/Invoices.jsx,369,Number,JavaScript Number,Decimal-safe string/minor-unit boundary,numeric-review,"customer_id: Number(form.customer_id),",code-review,medium
frontend-numeric,frontend/src/pages/Invoices.jsx,528,Number,JavaScript Number,Decimal-safe string/minor-unit boundary,money-or-rate,const selectedCustomerBalance = Number(,code-review,high
frontend-numeric,frontend/src/pages/Invoices.jsx,882,Number,JavaScript Number,Decimal-safe string/minor-unit boundary,numeric-review,{customers.find((c) => Number(c.id) === Number(invoice.customer_id))?.name ||,code-review,medium
frontend-numeric,frontend/src/pages/OnlineCommerce.jsx,132,Number,JavaScript Number,Decimal-safe string/minor-unit boundary,money-or-rate,"online_price: product.online_price === """" || product.online_price == null ? null : Number(product.online_price),",code-review,high
frontend-numeric,frontend/src/pages/OnlineCommerce.jsx,133,Number,JavaScript Number,Decimal-safe string/minor-unit boundary,money-or-rate,"discount_percent: Number(product.discount_percent || 0),",code-review,high
frontend-numeric,frontend/src/pages/OnlineCommerce.jsx,171,Number,JavaScript Number,Decimal-safe string/minor-unit boundary,numeric-review,"product_id: campaign.product_id ? Number(campaign.product_id) : null,",code-review,medium
frontend-numeric,frontend/src/pages/Products.jsx,87,Number,JavaScript Number,Decimal-safe string/minor-unit boundary,numeric-review,return Number(cleaned || 0);,code-review,medium
frontend-numeric,frontend/src/pages/Reports.jsx,68,Number,JavaScript Number,Decimal-safe string/minor-unit boundary,numeric-review,return Number(,code-review,medium
frontend-numeric,frontend/src/pages/Reports.jsx,908,Number,JavaScript Number,Decimal-safe string/minor-unit boundary,money-or-rate,"<MiniStat label={fa ? ""حاشیه"" : ""Margin""} value={`${n(Number(item.margin_percent || 0).toFixed(1))}%`} />",code-review,high
frontend-numeric,frontend/src/pages/Reports.jsx,908,toFixed,JavaScript Number,Decimal-safe string/minor-unit boundary,money-or-rate,"<MiniStat label={fa ? ""حاشیه"" : ""Margin""} value={`${n(Number(item.margin_percent || 0).toFixed(1))}%`} />",code-review,high
frontend-numeric,frontend/src/pages/Settings.jsx,82,Number,JavaScript Number,Decimal-safe string/minor-unit boundary,money-or-rate,const num = Number(cleanNumber(value));,code-review,high
frontend-numeric,frontend/src/pages/Settings.jsx,97,Math.round,JavaScript Number,Decimal-safe string/minor-unit boundary,numeric-review,height = Math.round((height * max) / width);,code-review,medium
frontend-numeric,frontend/src/pages/Settings.jsx,100,Math.round,JavaScript Number,Decimal-safe string/minor-unit boundary,numeric-review,width = Math.round((width * max) / height);,code-review,medium
